Temperature,Humidity,Occupancy,AC_Hours,Appliance_Hours,Day_Type
30.38,88.49,3,12.7,9.08,1
29.92,51.5,5,4.43,8.16,1
34.55,21.57,4,4.45,3.97,0
22.01,70.74,1,1.87,15.05,1
25.76,57.95,5,15.96,16.47,0
36.74,79.54,4,12.44,15.33,1
22.3,50.24,2,7.8,17.93,0
38.96,61.71,3,8.61,19.16,0
39.3,40.81,4,14.53,9.48,0
16.73,82.78,2,14.01,15.94,1
44.61,70.7,3,4.7,13.72,0
18.45,55.63,1,5.8,3.59,0
40.02,27.82,7,5.16,7.0,0
26.15,67.25,2,1.17,2.0,1
25.94,92.5,1,10.93,14.15,0
44.36,77.89,3,15.21,17.82,0
41.66,47.17,1,8.71,8.21,0
21.11,82.56,3,9.5,3.07,0
23.22,76.8,7,7.66,2.03,0
20.54,70.46,7,4.55,9.8,1
36.68,68.29,5,15.5,9.23,0
44.2,21.93,4,0.45,14.72,0
22.76,45.22,4,6.91,1.0,1
21.9,26.09,6,7.69,2.15,1
26.96,41.42,1,8.52,4.21,0
15.71,50.8,4,7.48,12.87,0
19.87,61.94,3,13.04,19.18,0
40.8,66.75,4,15.03,7.9,0
39.87,83.16,2,11.27,15.69,0
38.87,79.37,2,15.38,16.88,0
16.45,49.7,4,3.06,17.09,0
25.24,20.48,2,12.64,11.45,0
29.17,33.44,1,6.97,19.81,1
37.83,65.32,6,10.39,18.04,1
28.74,30.6,1,2.31,15.61,0
31.83,57.91,6,13.05,17.75,0
29.95,54.43,2,15.51,11.76,0
22.36,22.15,6,2.37,12.0,1
35.03,37.24,4,10.24,6.65,0
43.99,37.91,2,6.47,18.25,0
32.29,81.41,4,4.22,16.2,1
17.38,65.24,3,8.44,13.74,0
44.01,21.05,6,0.36,2.39,0
15.71,30.79,3,10.56,4.84,0
17.55,45.64,4,7.99,4.39,1
43.49,83.55,6,5.47,14.23,0
38.14,91.01,7,15.27,8.16,1
41.31,42.04,3,15.77,19.36,0
29.95,94.97,5,11.26,18.8,0
44.1,40.14,3,1.63,11.33,1
35.86,46.61,2,14.0,13.51,0
23.77,85.22,3,10.19,5.72,0
33.1,75.13,1,3.87,14.65,0
27.95,22.28,3,1.01,5.16,1
29.97,29.03,3,13.66,3.49,0
20.44,26.12,1,3.46,1.15,0
19.45,74.65,1,5.76,12.69,1
24.09,73.81,1,12.94,16.42,1
36.4,76.27,2,0.72,3.19,0
37.98,68.72,5,14.31,1.89,0
31.01,21.8,7,4.66,2.91,1
33.05,37.57,5,8.66,14.74,0
28.64,40.78,1,11.02,15.89,0
29.43,37.02,4,1.5,4.01,0
31.11,26.74,6,13.47,17.67,0
17.19,40.93,1,12.81,18.13,0
44.74,83.71,4,8.83,18.02,0
36.19,89.61,2,1.69,5.55,1
35.85,94.68,1,10.59,9.06,0
40.01,91.5,3,2.1,13.21,1
16.1,46.6,2,2.8,14.76,1
29.49,82.93,7,6.41,6.4,0
24.62,89.53,6,1.5,11.56,0
24.76,91.36,2,3.68,6.13,0
38.98,30.73,7,11.27,3.82,1
39.39,40.88,4,5.76,7.03,0
20.91,81.48,1,8.51,1.61,0
20.55,39.82,4,15.72,5.95,0
37.83,33.51,7,3.0,16.23,0
44.63,49.39,6,10.65,16.62,0
31.95,50.24,5,4.49,1.7,0
32.04,87.18,1,8.16,14.28,0
31.4,49.82,5,13.87,5.79,0
36.93,39.58,2,6.72,13.06,0
26.24,30.46,1,5.46,16.88,0
26.09,35.44,5,5.41,1.05,0
16.91,79.84,5,12.32,1.95,0
15.88,62.43,4,8.96,5.58,0
30.35,54.37,4,13.95,17.01,0
17.17,48.74,4,15.95,14.81,1
19.98,38.73,1,13.17,19.45,0
37.46,29.39,1,1.29,9.31,0
24.24,46.25,3,10.15,18.54,0
38.56,48.04,7,10.79,12.62,1
36.04,87.31,5,0.24,14.25,0
40.48,74.93,3,7.12,19.42,1
15.27,89.66,7,4.84,19.7,1
38.95,83.25,4,14.61,14.09,0
25.44,76.73,5,9.28,4.25,0
39.54,32.11,7,13.26,18.35,1
26.06,43.68,5,6.38,13.99,0
18.12,43.41,5,6.36,13.72,0
28.38,32.1,5,13.54,6.11,1
39.57,63.17,6,13.91,11.75,0
34.3,40.4,2,11.69,11.41,0
35.3,30.5,2,12.33,12.68,1
19.06,68.63,1,8.0,12.59,0
41.34,85.95,6,13.0,16.66,1
18.43,92.49,5,14.28,3.86,1
16.08,24.02,1,12.84,3.81,0
34.69,26.56,1,11.26,8.94,0
32.79,65.07,7,9.33,4.78,1
18.65,91.08,6,9.31,8.81,0
36.95,23.02,6,8.97,19.2,1
26.63,26.85,4,15.6,16.66,1
21.47,25.56,1,6.38,8.51,0
39.52,85.64,4,2.0,14.22,0
42.43,32.02,5,7.99,19.07,0
43.21,51.18,3,14.62,18.59,1
29.67,55.63,7,1.01,15.8,0
29.78,47.11,7,11.17,6.87,0
44.19,53.52,1,1.76,17.22,0
44.95,53.78,7,9.24,5.15,1
44.24,48.57,5,14.84,3.06,0
33.46,32.59,7,0.23,3.95,0
41.04,74.4,3,10.64,17.7,0
30.09,36.12,2,0.16,5.21,0
38.44,71.88,6,7.38,1.52,1
43.53,43.08,7,12.75,15.66,1
33.78,38.11,6,2.45,13.37,1
22.3,34.72,1,0.89,2.28,1
27.23,23.7,2,11.42,4.5,0
24.82,54.97,7,8.44,7.08,0
42.59,64.66,3,8.7,3.12,0
21.19,27.52,7,7.76,8.23,0
18.2,94.74,3,14.95,10.75,1
25.89,58.29,5,9.72,9.25,0
18.77,62.34,3,2.52,14.34,1
34.64,34.42,4,4.9,6.88,0
40.93,24.27,4,2.72,1.37,0
16.18,84.37,1,4.01,17.49,1
35.37,52.25,5,0.17,4.66,0
31.53,70.73,4,4.78,12.7,0
39.47,62.29,2,6.67,3.48,0
21.27,75.63,4,7.17,13.39,0
16.76,45.64,7,5.97,17.05,0
28.52,70.55,6,3.96,1.02,1
41.1,83.79,1,3.98,13.15,0
39.51,23.34,6,2.13,8.39,0
23.26,79.55,2,5.0,5.81,1
42.32,33.55,3,3.75,12.65,0
18.63,88.22,2,8.19,3.67,0
25.57,44.46,3,12.46,12.87,0
19.58,90.37,5,7.73,16.27,0
32.5,63.26,3,9.74,7.15,0
43.9,76.61,4,13.84,19.08,0
40.52,77.17,5,3.96,13.75,1
28.86,28.9,6,10.64,17.71,0
24.12,90.15,3,13.8,7.33,0
29.27,83.36,1,14.26,18.66,1
19.18,67.65,1,2.09,7.22,0
25.47,94.26,7,0.49,9.53,0
33.2,93.77,3,5.7,18.78,1
16.96,33.64,5,4.17,1.6,0
15.24,90.21,3,5.23,17.65,0
18.3,54.42,5,7.54,15.67,0
20.22,38.52,5,4.55,6.18,1
44.15,93.78,4,2.88,16.0,0
25.73,87.44,4,10.65,15.84,1
39.19,79.69,5,9.06,7.46,1
26.68,84.35,2,10.87,8.0,0
41.43,83.84,7,1.57,9.89,0
25.64,70.54,6,6.97,14.53,0
21.61,67.53,7,10.44,18.57,0
16.64,66.72,5,0.1,3.68,1
17.33,86.46,6,14.37,6.23,1
44.52,35.77,3,1.78,1.81,0
37.14,76.38,6,7.31,17.86,0
20.2,67.43,4,10.28,5.8,0
42.07,32.69,6,3.07,17.77,0
32.75,41.82,2,10.64,2.24,0
22.55,20.81,7,2.23,3.12,0
31.76,47.82,1,11.5,17.77,1
17.56,80.29,7,6.42,17.35,0
34.54,58.97,3,9.45,8.45,0
27.9,78.63,4,1.73,12.33,0
34.12,44.09,6,11.57,1.59,0
29.2,77.49,1,12.19,3.23,0
42.18,24.9,1,2.62,1.42,1
31.61,82.73,3,13.81,19.08,1
18.05,61.34,7,5.45,8.29,0
20.25,47.69,6,1.54,4.55,0
34.73,58.62,5,1.81,2.07,0
21.03,44.87,5,14.15,17.07,0
24.03,72.01,3,5.82,8.64,0
42.93,24.47,6,7.02,2.43,1
17.51,24.0,1,1.46,7.65,0
42.19,84.09,2,1.18,10.98,0
25.81,85.78,7,5.66,13.39,0
24.33,72.59,3,4.31,13.25,0
31.63,87.35,1,14.35,4.2,0
33.09,49.47,1,9.5,3.2,0
34.91,22.45,5,5.71,7.42,0
20.46,21.65,3,6.88,9.7,0
28.39,80.75,2,15.66,16.39,0
33.09,65.55,3,14.31,10.7,1
29.77,49.83,4,0.66,5.8,0
15.92,25.02,5,1.0,3.67,0
19.94,31.14,2,0.23,17.0,0
21.84,54.39,3,3.51,11.83,0
18.62,36.4,5,1.69,15.67,0
28.92,62.33,2,10.28,7.11,0
23.83,74.63,3,14.31,2.47,0
15.13,33.99,4,0.13,4.76,0
26.07,62.81,5,7.45,7.26,1
38.94,51.63,7,4.69,10.64,1
25.21,83.12,6,7.91,9.25,1
15.14,47.19,5,4.57,13.26,0
31.29,46.98,7,5.33,7.38,0
20.55,62.9,6,1.02,13.39,0
30.18,64.65,5,13.35,14.12,0
27.96,25.13,1,5.47,16.17,0
28.13,43.09,1,2.71,2.79,1
23.21,26.45,6,8.04,2.95,0
38.84,45.57,6,9.35,18.71,0
23.09,88.22,1,15.27,1.91,1
44.51,52.64,2,15.99,1.3,1
43.55,27.27,2,0.5,15.72,1
16.04,51.56,7,11.57,14.79,0
30.22,45.19,6,11.24,9.22,0
27.65,66.92,2,1.71,5.67,0
27.35,40.76,5,2.96,16.59,1
26.65,79.72,4,8.88,1.25,0
18.13,34.45,3,3.52,7.76,0
31.16,34.62,3,3.79,5.64,0
39.68,37.33,1,14.29,13.28,0
26.96,55.54,7,13.76,3.05,1
35.65,27.15,5,10.04,19.7,0
23.07,28.64,1,11.1,8.63,0
28.79,76.41,4,0.95,17.32,1
19.27,45.88,7,9.22,7.99,0
43.7,22.0,6,0.92,8.72,0
30.21,62.44,6,15.18,3.15,0
17.87,43.44,3,15.5,8.68,0
24.76,71.01,1,12.81,8.81,1
28.78,44.59,2,6.56,4.92,1
20.6,21.87,6,13.27,14.77,0
36.17,68.11,2,6.79,3.47,0
15.21,91.36,3,10.88,11.45,0
40.22,37.81,4,12.27,13.67,0
38.92,27.76,2,13.37,14.44,0
40.67,59.85,7,1.27,18.82,0
43.92,43.46,4,1.54,9.01,0
24.69,25.15,4,9.43,2.36,0
41.32,39.47,7,1.82,2.13,0
37.44,31.68,6,13.23,1.37,0
27.25,90.94,6,0.13,9.1,0
28.25,62.25,5,6.44,3.21,0
28.91,69.43,6,12.97,19.96,0
27.71,87.3,6,8.21,5.1,0
44.43,69.71,6,14.11,18.67,1
15.11,70.31,5,13.0,5.66,0
29.45,24.65,5,8.51,9.02,1
21.0,42.22,2,14.84,18.63,0
30.05,81.6,5,10.99,2.33,0
41.71,51.75,3,12.34,1.15,0
27.64,67.61,2,10.39,8.22,0
24.71,82.01,5,13.61,12.96,0
29.54,80.39,3,0.72,5.92,0
17.37,22.88,5,12.75,9.43,0
38.13,76.72,2,3.43,14.39,1
20.98,43.56,2,9.11,13.46,0
38.16,52.19,1,11.39,4.69,0
29.4,86.74,3,8.56,1.35,0
41.78,38.63,5,8.45,11.43,0
34.71,87.3,2,3.49,7.01,0
23.3,73.23,4,11.88,12.7,1
25.14,33.76,5,4.15,15.31,0
19.85,93.6,5,1.43,18.91,0
26.52,90.85,5,14.16,18.54,1
33.93,90.56,4,7.98,11.87,1
18.08,45.62,3,11.44,5.18,1
31.24,42.93,2,9.58,5.58,0
21.8,88.19,4,15.16,9.75,0
28.21,54.17,3,11.5,2.48,0
36.78,36.51,3,3.3,18.01,0
43.29,33.43,1,14.11,15.36,0
42.02,36.54,2,8.23,8.94,0
26.57,35.82,6,7.64,6.71,0
43.49,47.86,6,6.99,18.19,0
21.41,29.92,7,8.17,14.0,0
25.71,37.74,5,0.14,12.1,1
42.3,77.0,2,4.59,6.82,0
18.66,21.8,1,10.87,5.41,1
17.54,44.03,3,15.34,8.11,0
43.83,50.58,7,4.11,7.02,0
35.0,81.56,6,11.43,2.13,1
23.81,71.65,5,7.72,14.11,0
22.57,67.05,5,14.08,10.38,0
18.62,94.44,3,14.91,17.85,1
28.97,49.09,1,5.53,11.38,0
39.15,36.41,1,10.35,1.23,1
16.55,52.51,2,4.81,10.91,0
39.39,33.08,1,8.02,9.85,0
37.93,84.05,4,15.66,19.63,0
31.28,40.06,2,10.12,6.93,0
15.76,54.34,5,0.39,2.67,0
36.67,76.43,7,10.09,13.08,0
29.28,27.3,1,0.12,1.3,0
33.72,25.07,6,9.0,16.7,1
28.36,48.71,2,1.63,15.68,0
38.84,58.94,7,15.5,16.69,0
39.41,22.25,3,11.63,18.7,1
27.05,91.6,5,13.77,6.49,0
41.01,78.83,6,13.19,13.81,1
41.04,50.73,2,8.91,12.09,0
18.33,48.88,1,14.74,4.55,0
39.2,31.19,4,13.18,4.12,0
42.45,89.94,3,5.72,17.0,1
27.85,70.38,1,1.03,9.9,1
17.14,81.12,7,3.84,14.08,0
28.16,51.06,5,14.89,11.67,0
19.22,92.76,3,14.11,7.05,1
34.1,85.69,1,15.21,6.82,0
23.9,34.26,2,3.48,13.03,0
30.58,75.55,5,10.35,14.21,1
43.19,88.19,1,4.94,5.99,0
18.24,52.52,1,5.8,19.03,0
18.03,51.4,5,2.38,6.77,1
19.66,50.99,4,5.0,1.44,0
32.71,22.95,6,12.8,9.71,0
29.63,52.28,5,2.61,10.64,1
40.94,52.98,3,10.95,5.34,0
30.98,89.06,7,13.35,19.32,1
34.8,60.17,3,5.19,13.69,0
17.04,63.39,3,0.33,2.82,0
39.95,87.35,6,6.6,12.74,0
40.05,33.59,4,14.84,11.0,0
26.73,25.34,4,14.57,7.46,1
15.23,30.08,5,11.26,5.1,0
42.5,39.56,7,4.84,19.57,0
17.15,92.51,4,11.95,4.73,1
23.47,64.8,5,7.66,18.4,0
25.93,41.43,4,8.7,14.01,0
31.17,88.61,7,4.1,15.18,0
22.19,38.63,4,6.88,4.9,0
15.29,24.39,5,9.01,2.34,0
41.78,61.83,1,6.28,2.0,0
39.44,92.61,6,15.76,8.93,1
35.41,87.68,4,13.44,18.08,0
17.57,50.4,7,14.47,8.13,0
26.77,51.3,4,6.05,3.69,0
25.99,44.93,5,9.28,10.35,0
16.17,20.65,7,3.07,6.43,0
22.13,81.86,6,9.77,15.14,0
28.6,65.89,1,5.26,19.01,0
20.44,88.63,5,8.18,8.57,0
27.5,29.74,2,15.53,11.21,0
32.51,35.91,4,14.32,6.4,0
39.38,93.58,4,9.15,2.37,1
43.57,37.92,3,7.95,12.24,0
19.18,40.37,5,1.53,8.63,1
39.0,39.94,3,14.19,16.88,0
26.42,79.35,5,6.2,8.4,0
19.74,62.82,7,8.03,8.15,1
17.35,69.25,7,0.17,9.85,0
30.61,42.68,5,0.56,5.77,1
30.52,90.57,3,6.41,14.66,0
35.69,71.9,5,0.48,7.6,0
30.49,47.94,4,5.38,13.65,0
31.28,80.27,1,15.86,10.61,0
18.45,45.88,5,8.37,6.64,0
38.86,47.72,5,7.27,14.42,0
42.23,41.19,3,3.33,15.3,1
33.73,86.34,5,15.25,18.7,1
38.15,24.25,6,9.18,9.02,0
20.57,44.85,6,14.0,17.05,1
22.78,62.98,3,10.18,12.44,0
35.67,35.31,5,14.64,6.23,0
39.67,36.83,7,6.66,15.35,0
40.33,91.17,7,6.85,16.65,0
30.34,55.58,4,8.08,2.62,0
34.91,93.04,5,6.67,3.25,0
21.37,46.47,5,7.4,19.64,0
27.26,82.05,5,8.61,10.99,0
28.53,23.78,4,1.72,14.54,0
25.73,88.39,6,5.66,2.19,0
16.36,83.94,6,0.07,8.48,0
15.83,23.87,3,10.34,18.57,0
17.74,23.03,4,5.41,17.89,1
23.67,52.41,1,3.38,18.1,0
28.04,85.83,4,13.49,14.68,1
21.66,74.89,4,9.47,5.99,0
34.16,74.77,2,15.43,6.28,0
43.11,32.62,6,10.12,17.14,0
41.4,45.44,5,15.64,6.18,0
33.87,22.34,4,11.97,1.21,1
40.72,47.51,6,13.81,5.06,0
37.98,47.26,2,6.58,3.79,0
16.8,77.35,1,2.79,8.77,0
34.87,55.59,5,9.97,3.49,1
31.56,63.55,2,7.68,13.09,0
17.81,26.27,7,15.97,17.31,0
21.61,21.03,3,1.39,15.37,0
42.52,88.26,2,6.98,11.02,1
33.03,70.55,1,9.07,6.09,0
39.24,51.38,6,8.87,5.87,0
27.27,56.3,6,6.05,1.3,0
41.63,66.85,2,0.58,4.88,0
17.42,31.49,6,3.19,3.07,0
22.48,52.58,6,15.25,3.56,0
27.33,35.88,7,4.29,8.44,0
29.92,63.83,4,10.58,10.71,0
41.88,38.57,2,14.49,11.77,0
40.37,46.02,2,9.89,2.88,0
32.4,53.2,6,6.06,17.83,1
36.25,72.55,5,8.5,19.19,0
25.36,91.04,1,11.28,12.82,1
33.89,40.11,4,6.83,9.23,0
24.17,61.17,7,1.28,11.79,0
41.14,85.81,4,2.01,4.79,1
29.24,71.32,1,6.36,6.69,0
36.54,55.37,4,8.33,9.87,1
37.85,62.62,4,11.65,13.35,0
33.67,93.31,5,11.18,4.07,0
26.08,71.02,4,11.39,5.0,1
23.22,75.89,3,11.4,17.72,0
40.07,53.83,3,14.77,15.13,0
17.41,74.34,7,4.66,9.29,0
30.47,61.02,6,8.13,19.19,0
20.25,21.58,1,2.89,15.27,0
34.23,33.16,4,15.89,18.96,1
16.1,38.44,5,10.3,9.07,0
17.98,67.24,7,14.07,14.36,0
44.28,84.61,3,5.07,9.62,1
36.47,26.01,4,12.71,11.52,1
19.63,26.93,3,4.56,7.55,0
21.73,72.05,6,1.52,5.37,1
38.3,83.57,6,12.47,1.39,1
29.83,66.76,5,15.65,3.65,0
36.22,42.23,2,6.62,8.18,0
23.27,80.87,2,11.9,7.01,1
19.62,83.29,6,8.62,2.94,0
16.37,86.84,1,4.0,10.16,1
21.47,80.96,4,3.89,16.45,1
30.54,92.62,4,11.95,3.71,0
42.4,60.17,3,10.56,5.82,0
20.96,65.75,2,13.64,5.41,1
30.55,44.76,3,15.2,18.8,0
20.01,65.45,2,2.35,13.68,1
25.22,87.57,2,10.96,10.87,0
24.86,84.48,1,3.32,8.79,1
15.82,25.62,1,13.9,15.25,0
20.58,93.3,2,14.4,5.76,0
35.94,41.49,2,1.7,2.08,0
30.97,34.74,4,7.32,5.14,0
22.26,46.61,6,13.18,11.07,1
44.11,63.18,7,14.06,9.98,0
25.97,86.82,7,4.31,14.4,1
27.65,30.71,6,14.98,7.14,1
32.46,50.05,5,2.69,9.19,1
38.08,22.67,2,4.88,14.87,0
15.28,82.84,3,6.98,19.45,0
30.69,57.61,2,3.87,8.47,0
32.21,37.46,2,2.66,18.87,0
27.44,92.98,6,10.57,12.18,1
41.12,56.25,1,0.56,13.05,0
15.39,60.52,5,14.45,7.88,0
15.7,34.08,1,8.98,9.94,0
30.28,88.63,5,11.43,10.71,0
