Temperature,Humidity,Occupancy,AC_Hours,Appliance_Hours,Day_Type,Electricity_Consumption
16.36,25.67,1,14.78,17.89,Weekday,150.25
24.76,91.36,2,3.68,6.13,Weekday,111.73
26.66,42.3,2,11.99,13.69,Weekday,162.39
23.14,26.91,1,10.09,16.32,Weekday,132.42
39.86,64.93,2,11.99,4.12,Weekday,162.43
25.7,66.77,7,7,9.41,Weekday,166.42
23.43,68.64,4,14.92,10.38,Weekend,187.96
31.28,40.06,2,10.12,6.93,Weekday,141.11
19.23,21.13,5,4.61,10.15,Weekday,145.28
39.07,92.38,4,10.22,7.03,Weekday,193.15
17.24,38.82,7,4.59,7.85,Weekend,143.14
44.61,70.7,3,4.7,13.72,Weekday,172.41
38.17,73,2,6.39,13.02,Weekend,193.54
20.96,65.75,2,13.64,5.41,Weekend,144.35
15.17,43.47,5,8,18.05,Weekend,157.29
39.46,40.33,7,10.86,17.39,Weekend,239.27
36.21,64.83,5,6.27,10.67,Weekday,177.94
36.87,84.96,6,4.22,9.23,Weekend,173.96
38.14,91.01,7,15.27,8.16,Weekend,243.86
17.22,27.94,1,9.66,14.44,Weekend,133.04
25.75,31.61,1,14.94,13.76,Weekday,165.46
18.48,90.86,1,3.25,4.73,Weekday,98.85
40.89,75.24,5,2.35,13.76,Weekday,194.51
33.7,86.22,1,13.69,5.8,Weekday,171.07
24.93,35.2,7,10.89,1.35,Weekend,174.79
16.91,64.07,1,2.99,14.28,Weekend,88.12
24.33,72.59,3,4.31,13.25,Weekday,153.04
24.76,71.01,1,12.81,8.81,Weekend,156.4
36.89,50.61,2,7.26,10.99,Weekday,147.49
34.13,21.15,6,10.73,19,Weekday,204.28
41.62,63.72,5,5.09,12.31,Weekday,189.33
29.17,38.98,4,6.1,13.5,Weekday,161.62
18.59,53.77,6,15.85,2.21,Weekend,178.03
36.4,91.82,3,3.96,4.15,Weekday,148.84
37.82,49.93,5,8.1,6.72,Weekday,172.2
31.84,82.99,7,13.51,11.25,Weekday,227.68
38.13,34.14,5,3.83,15.76,Weekday,172.41
29.81,70.43,2,6.64,7.1,Weekend,143.73
30.68,93.28,7,9.84,7.77,Weekday,198.11
27.83,27.64,6,7.7,5.87,Weekday,157.16
15.76,20.62,6,7.35,5.84,Weekend,126.87
18.24,52.52,1,5.8,19.03,Weekday,126.1
15.94,26.95,7,9.39,13.07,Weekend,163.71
34.09,76.13,2,9.99,3.96,Weekday,145.93
24.43,88.59,1,10.45,14.72,Weekday,152.33
30.26,52.55,1,1.13,14.72,Weekend,119.01
42.23,39.4,5,10.1,13.66,Weekend,204.09
22.48,52.58,6,15.25,3.56,Weekday,183.87
27.31,74.26,1,8.66,8.75,Weekday,138.28
37.67,20.68,3,11.44,3.03,Weekend,169.28
21.86,64.21,3,8.91,16.52,Weekday,158.36
17.31,66,6,13.68,13.45,Weekday,191.53
23.69,67.83,3,14.87,10.64,Weekday,192.25
19.84,38.15,5,2.95,7.52,Weekday,113.44
42.89,73.55,2,6.99,4.5,Weekday,154.34
39.24,26.85,4,6.28,3.02,Weekend,160.22
34,34.95,1,6.48,19.42,Weekday,143.92
41.14,85.81,4,2.01,4.79,Weekend,166.91
39.11,75.4,2,13.02,2.14,Weekday,170.41
20.6,21.03,2,0.57,19.27,Weekday,97.69
41.78,38.63,5,8.45,11.43,Weekday,197.21
31.18,36.08,3,10.59,16.14,Weekday,172.1
39.22,40.31,3,3.32,1.83,Weekday,140.26
41.88,38.57,2,14.49,11.77,Weekday,194.73
24.54,24.69,5,13.42,8.57,Weekend,176.39
18.3,54.42,5,7.54,15.67,Weekday,152.97
21.84,74.96,6,6.58,1.73,Weekday,142.03
27.81,65.5,7,3.79,8.63,Weekend,164.56
39.54,70.47,1,11.68,16.18,Weekend,204.12
40.82,26.09,7,2.11,10.93,Weekday,173.16
15.21,91.36,3,10.88,11.45,Weekday,158.6
30.32,82.89,2,13.48,2.85,Weekend,168.15
27.52,80.38,6,3.66,3.51,Weekend,147.55
21.66,81.72,4,13.86,13.86,Weekday,191.36
18.6,89.95,3,0.53,13.83,Weekday,130
25.13,60.82,1,14.6,19.6,Weekend,176.94
43.29,35.02,5,1.89,14.53,Weekend,177.26
24.7,66.26,2,10.33,10.37,Weekend,166.62
30.56,75.72,3,4,17.29,Weekday,151.25
36.09,75.34,4,13.38,2.98,Weekday,193.74
25.91,59.11,1,8.2,9.54,Weekday,137.62
44.15,25.13,1,2.16,6.46,Weekday,108.6
43.87,47.83,6,9.14,2.99,Weekday,197.89
22.55,89.06,3,6.53,15.51,Weekday,150.04
29.92,63.83,4,10.58,10.71,Weekday,179.05
24.03,60.37,1,14.11,11.58,Weekday,166.52
23.55,40.16,2,6.55,8.81,Weekend,133.9
16.11,47.63,1,4.64,9.75,Weekend,86.31
33.29,87.15,4,0.23,3.2,Weekend,145.47
30.08,69.98,5,9.2,13.79,Weekend,203.2
16.54,79.05,5,6.44,9.22,Weekday,151.15
23.36,54.08,6,5.99,16.52,Weekday,172.48
42.25,67.27,3,2.93,4.73,Weekday,140.32
22.19,38.63,4,6.88,4.9,Weekday,116.59
19.35,72.91,6,15.75,13.27,Weekend,196.78
29.68,52.07,7,4.76,17.07,Weekday,189.21
44.57,53.19,1,9.6,9.97,Weekday,177.71
22.26,68.7,7,12.42,14.81,Weekday,204.5
35.16,90.22,1,11.99,19.99,Weekday,192.59
37.85,24.8,5,5.26,19.82,Weekday,183.39
22.13,81.86,6,9.77,15.14,Weekday,184.56
36.85,41.93,5,13.94,15.05,Weekday,214.92
26.03,53.29,2,0.25,5.7,Weekday,86.93
33.97,21.64,7,6.97,16.84,Weekend,201.95
34.01,42.58,7,3.59,8.7,Weekday,175.22
31.07,57.7,5,6.22,19.28,Weekday,187.7
17.71,24.21,2,6.66,2.55,Weekday,90.05
40.06,56.83,1,11.95,9.28,Weekday,179.25
24.62,89.53,6,1.5,11.56,Weekday,151.52
20.6,27.9,2,8.2,8.7,Weekday,125.14
16.22,77.33,6,9.03,5,Weekend,151.94
32.73,50.73,7,7.91,12.27,Weekend,193.64
35.33,69.14,6,11.71,15.36,Weekday,210.91
15.5,39.52,7,6.14,13.25,Weekday,148.81
30.36,31.96,2,15.12,5.45,Weekday,168.13
21.79,32.03,7,7.71,14.9,Weekday,165.34
34.36,25.29,3,9.14,5.88,Weekday,129.05
20.23,33.92,7,13.21,4.33,Weekday,168.24
35.73,69.82,5,4.4,14.12,Weekday,166.75
26.6,86.13,2,1.2,17.01,Weekend,133.53
43.1,81.06,1,11.32,10.15,Weekend,205.04
19.13,71.39,6,7.73,11.1,Weekend,160.92
25.23,28.28,4,14.34,6.75,Weekday,170.37
18.4,41.69,2,15.72,10.4,Weekday,154.62
42.74,43.24,5,6.39,3.51,Weekday,169.34
41.32,38.75,7,6.65,19.16,Weekday,209.99
22.74,58.63,6,6.53,16.21,Weekday,180.84
34.8,60.17,3,5.19,13.69,Weekday,161.59
39.52,46.77,1,12.51,11.23,Weekday,177.78
31.66,46.53,3,12.14,16.05,Weekend,190.69
30.89,82.14,4,7.66,10.4,Weekend,184.63
22.26,79.2,2,0.71,6.7,Weekday,102.25
17.79,43.08,6,4.95,4.05,Weekday,127.11
41.92,88.53,2,4.68,13.3,Weekday,173.55
42.01,91.46,5,12.98,18.66,Weekday,228.43
33.99,44.51,2,1.4,3.92,Weekday,106.97
25.17,46.58,1,12.89,4.42,Weekend,139.5
25.48,57.92,4,10.71,9.24,Weekday,173.09
36.78,90.58,3,11.72,16.33,Weekday,200.43
41.91,85.72,4,6.92,6.58,Weekday,180.38
41.61,27.69,6,10.88,5.82,Weekday,208.35
38.4,49.45,2,9.74,12.78,Weekday,171.71
34.26,61.5,6,12.3,11.18,Weekend,202.43
17.52,57.73,3,7.15,2.14,Weekday,127.14
19.85,34.54,6,7.57,2.55,Weekday,128.02
41.96,84.41,5,10.3,13.22,Weekend,212.94
33.19,70.77,4,1.73,9.84,Weekday,134.4
15.28,82.84,3,6.98,19.45,Weekday,156.37
18.04,84.41,3,15.55,13.89,Weekday,192.73
34.91,76.13,7,0.6,1.19,Weekend,166.08
15.15,52.94,3,5.06,10.14,Weekday,112.34
19.82,65.79,7,5.03,8.87,Weekday,145.67
31.46,32.03,1,10.14,3.03,Weekend,126.95
35.76,70.52,7,1.69,18.54,Weekend,195.2
34.56,33.44,4,10.06,16.3,Weekday,185.17
21.73,72.05,6,1.52,5.37,Weekend,142.85
36.37,37.22,7,1.52,5.86,Weekday,141.82
22.12,28.82,3,11.65,1.61,Weekday,119.5
24.76,32.4,4,5.19,6.64,Weekday,121.75
37.39,20.15,7,15.64,12.11,Weekday,229.32
34.49,73.91,7,0.6,9,Weekday,159.19
40.48,74.93,3,7.12,19.42,Weekend,194.91
34.73,58.62,5,1.81,2.07,Weekday,142.18
32.05,32.1,5,5.62,12.24,Weekday,163.32
17.81,26.27,7,15.97,17.31,Weekday,198.01
26.03,21.43,5,14.22,10.13,Weekend,180.5
22.96,32.43,2,0.77,1.06,Weekend,81.99
22.32,86.81,3,9.01,5.61,Weekday,133.04
44.19,38.12,2,10.37,7.15,Weekend,178.44
26.79,46.57,4,3.35,19.35,Weekday,149.11
41.76,27.9,2,2.32,18.32,Weekday,153.2
33.93,36.68,4,14.47,19.03,Weekend,217.03
38.84,58.94,7,15.5,16.69,Weekday,241.14
30.08,65.58,4,15.87,7.68,Weekend,194.04
32.31,38.4,4,12.64,18.21,Weekday,210.18
29.78,24.33,6,10.62,19.65,Weekday,218.87
20.86,49.33,2,5.53,7.65,Weekend,101.09
36.67,37.57,6,2.74,5.95,Weekend,164.06
23.42,36.47,7,1.26,11.39,Weekday,142.21
15.73,91.99,3,11.09,4.56,Weekday,156.51
34.36,66.22,2,12.56,1.62,Weekend,158.32
20.31,61.77,3,13.22,18.97,Weekday,187.52
43.21,51.18,3,14.62,18.59,Weekend,226.41
43.62,52.17,4,14.08,4.09,Weekend,213.77
42.45,60.57,2,16,8.75,Weekday,220.29
26.1,72.23,3,3.91,16.79,Weekday,148.87
15.46,72.66,5,12.21,13.56,Weekday,165.31
42.85,32.88,3,9.38,8.5,Weekday,183.23
27.85,57.51,5,4.18,15.14,Weekend,169.01
44,50.9,2,15.71,18.04,Weekend,228.89
43.91,85.29,7,14.37,18.6,Weekday,278.85
40.59,67.36,6,2.06,8.2,Weekday,159.46
23.83,59.94,2,0.42,4.3,Weekday,82.49
26.55,28.65,6,11.01,18.34,Weekday,199.06
40.53,65.42,6,9.67,2.76,Weekday,184.25
24.51,28.79,2,14.97,14.71,Weekday,165.97
20.08,45.29,3,3.74,3.67,Weekday,108.86
31.7,30.71,1,1.35,8.4,Weekend,107.3
43.08,71.91,3,4.15,8.82,Weekday,151.76
35.88,35.47,3,0.3,4.02,Weekend,117.69
32.1,49.39,7,0.57,18.53,Weekend,186.87
17.92,87.18,4,14.64,1.05,Weekday,159.95
33.45,35.32,4,5.63,17.98,Weekday,174.69
44.7,58.09,3,6.57,17.79,Weekday,186.47
19.2,51.45,5,0.29,7.02,Weekday,108.85
30.55,21.36,7,4.33,14.38,Weekend,160.9
41.32,79.46,6,12.88,5.8,Weekday,221.96
37.22,25.18,4,9.85,15.42,Weekday,187.67
35.91,55.57,3,12.06,11.66,Weekday,174.91
36.07,62.05,7,7.16,6.7,Weekend,203.67
25.78,67.13,1,4.96,8.6,Weekday,120.35
23.81,71.65,5,7.72,14.11,Weekday,164.61
39.28,39,2,5.17,18.22,Weekday,166.99
39.3,20.75,3,13.42,3.48,Weekend,166.17
41.01,74.26,7,4.76,11.86,Weekday,192.85
42.4,60.17,3,10.56,5.82,Weekday,170.84
30.34,82.71,6,2.19,16.23,Weekday,164.92
30.05,81.6,5,10.99,2.33,Weekday,176.65
38.95,83.25,4,14.61,14.09,Weekday,224.59
34.5,56.38,4,9.74,4.32,Weekday,170.33
36.06,45.02,4,8.96,12.33,Weekday,155.29
38.87,79.37,2,15.38,16.88,Weekday,212.98
41.7,53.85,7,10.04,15.35,Weekday,223.13
25.14,33.76,5,4.15,15.31,Weekday,148.16
26.27,84.12,5,4.68,10.84,Weekday,157.63
17.82,86.19,4,11.28,17.92,Weekday,181.97
32.35,54.97,4,11.77,12.17,Weekend,192.16
16.08,25.68,6,4.86,18.43,Weekday,143.38
28.97,49.09,1,5.53,11.38,Weekday,121.58
31.28,80.27,1,15.86,10.61,Weekday,182.67
23.6,87.63,3,1.63,5.22,Weekday,115.64
32.72,35.26,3,6.47,11.35,Weekday,148.27
15.92,25.02,5,1,3.67,Weekday,82.45
16.12,85.8,5,13.14,17.52,Weekend,190.72
39.68,49.21,2,1.48,13.84,Weekend,148.36
25.81,60.63,2,10.78,19.88,Weekend,183.96
18.81,92.6,1,0.9,2.75,Weekend,93.33
30.67,24.99,3,10.77,5.57,Weekend,148.48
38.1,68.62,1,13.49,17.67,Weekend,186.71
21.47,25.56,1,6.38,8.51,Weekday,104.81
33.69,48.16,3,8.35,9.86,Weekday,152.64
17.56,80.29,7,6.42,17.35,Weekday,177.95
16.55,52.51,2,4.81,10.91,Weekday,108.38
30.94,94.79,6,12.85,4.68,Weekday,204.68
31.22,61.93,6,4.35,17.95,Weekend,193.99
34.12,44.09,6,11.57,1.59,Weekday,187.55
36.78,36.51,3,3.3,18.01,Weekday,166.19
44.28,46.29,4,4,1.96,Weekday,148.72
30.49,47.94,4,5.38,13.65,Weekday,142.01
24.69,25.15,4,9.43,2.36,Weekday,126.72
38.86,47.72,5,7.27,14.42,Weekday,199.96
23.12,54.82,2,11.92,1.65,Weekday,132.53
28.17,74.21,2,3.42,17.01,Weekday,159.18
17.35,69.25,7,0.17,9.85,Weekday,127.43
15.76,73.16,7,12.42,2.78,Weekday,186.84
43.88,20.63,5,13.15,14.43,Weekday,216.06
40.08,36.33,1,0.95,10.3,Weekday,114.62
35.88,69.63,7,9.77,4.63,Weekday,189.94
27.27,56.3,6,6.05,1.3,Weekday,149.34
20.2,20.4,4,12.7,8.94,Weekday,140.01
19.69,80.34,6,13.99,2.63,Weekday,171.89
22.51,77.96,4,13.62,2.79,Weekday,162.89
31.48,61.13,6,12.44,6.08,Weekday,174.27
36.44,24.98,1,4.3,12.98,Weekend,133.23
34.81,77.49,6,12.99,11.07,Weekday,230.47
23.4,63.78,6,8.54,2.31,Weekday,156.2
43.65,78.65,3,0.84,19.4,Weekday,167.37
37.14,76.38,6,7.31,17.86,Weekday,206.12
31.63,80.23,3,15.07,5.93,Weekday,188.57
33.35,58.85,2,14.21,3.32,Weekend,165.84
27.59,30.52,5,1.64,18.91,Weekend,156.52
22.43,70.34,6,11.91,9.76,Weekday,180.22
25.68,66.54,2,12.89,6.91,Weekend,152.21
37.74,75.67,7,4.34,10.32,Weekday,198.31
15.43,32.74,7,7.55,15.68,Weekday,167.73
18.48,34.62,3,11.38,4.2,Weekday,112.98
16.38,86.78,6,7.02,15.58,Weekday,166.72
16.22,76.25,6,1.8,15.24,Weekday,150.07
40.66,88.12,1,11.29,11.25,Weekday,181.87
36.11,76.9,2,14.59,17.45,Weekday,203.45
29.23,64.79,4,10.44,3.51,Weekday,156.72
17.94,69.06,4,12.38,12.31,Weekday,168.69
29.75,86.68,1,5.73,9.54,Weekday,132.9
29.2,63.41,3,2.93,9.02,Weekday,127.97
20.2,67.43,4,10.28,5.8,Weekday,146.42
28.02,31.74,4,5.24,8.07,Weekday,125.52
26.96,55.54,7,13.76,3.05,Weekend,186.63
33.48,73.73,7,1.96,5.78,Weekday,151.2
34.05,40.32,5,6.94,6.17,Weekend,163.9
16.36,35.17,2,6.35,14.69,Weekday,121.55
26.24,43.54,3,15.01,1.92,Weekday,148.53
33.78,38.11,6,2.45,13.37,Weekend,153.67
30.09,36.12,2,0.16,5.21,Weekday,86.2
40.69,51.86,3,3.81,2.56,Weekday,146.79
34.76,88.09,4,13.12,6.72,Weekday,192.32
19.89,58.03,5,3.35,5.26,Weekday,118.15
17.12,34.09,2,3.85,11.49,Weekday,93.28
34.27,25.77,4,2.08,7.79,Weekday,132.49
15.8,72.21,3,11.45,19.35,Weekend,172.2
32.57,48.71,2,1.11,19.31,Weekday,130.89
43.21,81.64,6,5.3,9.43,Weekday,186.61
32.26,69.46,2,4.52,16.11,Weekend,158.71
26.65,79.72,4,8.88,1.25,Weekday,148.71
34.3,40.4,2,11.69,11.41,Weekday,157.64
28.75,71.93,6,8.53,15.12,Weekday,202.78
31.37,39.8,5,14.9,5.12,Weekday,181.57
43.24,90.43,5,15.22,2.16,Weekday,200.43
26.58,67.73,4,5.78,3.96,Weekday,147.14
43.84,44.34,3,12.44,9.4,Weekday,192.05
42.16,40.21,4,11.82,10.62,Weekend,204.99
20.87,34.32,5,14.29,8.24,Weekend,188.66
17.08,72.1,1,7.17,9.36,Weekday,105.2
18.02,36.4,1,8.49,9.93,Weekend,120.25
15.55,64.65,2,6.65,15.62,Weekday,137.08
17.83,39.85,6,13.61,3,Weekday,152.4
35.49,69.65,7,3.68,15.61,Weekday,203.34
17.14,81.12,7,3.84,14.08,Weekday,148.15
24.57,78.35,7,5.96,15.09,Weekend,188
40.35,77.06,2,3.69,14.95,Weekday,152.63
15.7,34.08,1,8.98,9.94,Weekday,114.31
39.43,26.63,5,2.15,5.02,Weekday,131.97
23.46,72.42,2,5.12,11.2,Weekday,122.69
18.54,47.63,7,14.62,19.2,Weekday,204.65
35.9,52.43,7,6.55,12.18,Weekend,188
33.87,22.34,4,11.97,1.21,Weekend,155.06
41.32,39.47,7,1.82,2.13,Weekday,154.73
37.05,22.53,6,3.96,19.86,Weekday,182.18
39.1,85.94,7,12.92,2.37,Weekday,213.77
23.46,38.25,4,12.21,1.87,Weekend,144.43
20.32,61.8,7,6.18,7.71,Weekday,153.03
37.52,22.92,6,15.27,19.42,Weekday,221.16
39.21,70.01,5,14.57,7.05,Weekend,212.07
44.72,44.23,2,15.4,8.79,Weekday,196.6
27.38,87.34,6,6.85,13.05,Weekday,185.35
26.16,86.61,4,3.16,1.46,Weekday,123.88
38.29,44.4,2,10.03,18.06,Weekday,173.27
25.22,87.57,2,10.96,10.87,Weekday,164.31
42.92,94.71,4,2.01,9.87,Weekday,169.4
40.75,81.91,1,12.58,17.35,Weekday,212.25
27.87,83.37,7,0.29,19.11,Weekday,162.56
37.53,38.68,6,7.72,9.05,Weekend,185.71
37.64,63.25,4,5.3,4.28,Weekday,160.21
18.09,25.04,5,11.84,16.5,Weekend,172.31
42.08,27.12,3,5,8.66,Weekday,142.14
30.16,94.92,4,13.23,18.78,Weekday,209.07
39.79,44.5,7,9.52,19.05,Weekday,232
24.6,76.11,7,12.7,3.18,Weekday,174.89
41.87,80.5,2,15.83,19.17,Weekday,226.26
26.68,84.35,2,10.87,8,Weekday,148.81
15.33,94.82,4,15.76,13.28,Weekday,181.75
42.16,38.11,3,0.46,1.66,Weekday,120.59
17.74,23.03,4,5.41,17.89,Weekend,136.38
24.58,50.84,3,1.73,13.19,Weekday,122.14
43.5,29.76,3,4.2,13.23,Weekday,149.28
43.52,21.68,7,13.42,18.14,Weekday,247.79
32.2,47.03,7,0.52,10.66,Weekday,155.55
33.96,78.78,7,8.32,8.8,Weekend,212.47
28.45,62.46,5,9.07,17.46,Weekday,185.94
23.8,43.46,7,8.98,15.11,Weekday,189.1
24.86,69.08,6,7.6,19.03,Weekday,195.83
35.18,37.4,2,12.65,18.86,Weekend,197.4
37.57,21.08,2,2.14,8.26,Weekday,131.33
38.75,77.33,3,4.97,9.49,Weekday,146.88
38.69,66.78,2,9.85,5.86,Weekday,164.3
17.74,77.17,1,11.06,13.55,Weekday,139.39
29.83,22.92,3,6.47,7.93,Weekday,127.29
16.73,82.78,2,14.01,15.94,Weekend,185.98
31.49,66.46,1,6.65,3.31,Weekend,121.85
28.25,62.25,5,6.44,3.21,Weekday,152.41
41.63,66.85,2,0.58,4.88,Weekday,115.91
25.53,84.83,1,8.82,2.6,Weekday,132.96
18.51,64.02,4,11.34,12.78,Weekday,163.49
19.29,63.57,6,1.83,3.8,Weekday,116.13
37.85,94.3,4,4.89,4.04,Weekday,147
33.55,76.75,1,12.5,1.27,Weekend,153.21
18.03,53.17,3,5.85,15.86,Weekday,128.16
17.52,73.05,7,3.87,16.43,Weekend,181.99
36.03,49.19,7,10.76,4.08,Weekday,193.39
17.18,37.17,7,3.15,15.05,Weekday,140.59
39.66,64.76,3,14.33,9.24,Weekday,194.51
36.19,89.61,2,1.69,5.55,Weekend,121.96
17.44,89.69,7,11.3,12.81,Weekday,205.52
17.55,45.64,4,7.99,4.39,Weekend,137.95
44.6,59.58,3,13.92,15.38,Weekend,223.09
26.23,35.87,3,2.02,1.9,Weekday,112.68
26.12,94.67,7,10.85,19.22,Weekday,222.41
39.38,93.58,4,9.15,2.37,Weekend,191.13
43.42,68.71,5,7.68,12.01,Weekday,204.28
44.58,80.33,3,7.86,18.14,Weekday,199.04
37.6,73.63,7,11.55,1.23,Weekday,201.91
26.29,64.49,6,15,10.47,Weekend,213.2
17.51,24,1,1.46,7.65,Weekday,59.68
38.31,54.11,2,0.31,12.03,Weekend,136.36
31.75,70.61,3,12.89,5.28,Weekday,181.1
27.73,70.81,6,1.73,2.23,Weekday,126.32
42.19,47.98,6,15.79,12.89,Weekday,236.06
18.34,90.63,3,9.91,8.92,Weekday,139.53
29.78,32.55,5,10.41,12.83,Weekend,179.59
15.34,57.53,1,3.18,5,Weekend,79.95
29.06,71.82,2,3.84,7.44,Weekend,141.14
16.69,72.29,3,10.55,11.67,Weekend,151.34
18.56,68.65,2,14.56,12.27,Weekday,158.26
18.53,40.65,4,15.72,8.07,Weekday,165.28
34.48,31.72,6,3.17,6.32,Weekday,134.07
37.38,67.7,6,2.15,6.2,Weekend,145.02
32.5,64.95,3,0.9,4.32,Weekday,104.49
43.87,33.45,3,13.89,7.18,Weekend,198.9
26.25,72.89,4,4.72,4.79,Weekday,132.84
23.57,54.14,5,0.03,13.04,Weekend,139.45
41.06,70.08,3,3.58,11.81,Weekday,148.87
21.71,82.8,6,5.45,8.27,Weekday,152.99
43.9,32.73,2,15.86,7.19,Weekend,184.27
15.36,21.44,1,8.38,5.51,Weekend,99.05
44.1,78.43,7,3.28,11.17,Weekday,187.2
16.29,65.73,2,5.36,18.46,Weekend,132.82
41.73,72.47,5,5.28,14.03,Weekend,198.16
30.83,82.86,1,0.32,15.14,Weekday,119.96
44.79,80.21,2,2.16,16.85,Weekday,149.4
17.21,92.07,2,11.12,7.68,Weekday,154.86
31.62,60.2,4,1.92,2.19,Weekday,116.47
44.08,56.64,7,3.69,12.83,Weekend,189.29
30.69,50.14,5,5.61,4.58,Weekday,151.72
33.88,31.53,6,12.12,11.81,Weekday,205.38
35.87,62.95,4,9.32,15.05,Weekday,188.08
28.64,40.78,1,11.02,15.89,Weekday,168.63
33.83,89.1,7,9.07,6.73,Weekday,193.33
32.53,63.74,6,10.94,10.74,Weekday,199.92
42.03,64.46,4,0.05,12.8,Weekday,159.45
16.36,46.62,7,14.89,16.57,Weekday,215.03
23.43,23.9,5,1.77,15.47,Weekend,120.81
43.51,22.38,3,6.5,19.77,Weekday,200.12
41.71,51.75,3,12.34,1.15,Weekday,182.04
28.67,26.34,1,6.96,9.31,Weekday,122.93
33.6,65.51,3,15.15,5.86,Weekday,178.82
23.32,86.07,4,7.48,3.28,Weekday,133.61
20.64,86.22,1,14,18.32,Weekend,181.62
28.91,69.43,6,12.97,19.96,Weekday,227.11
25.6,35.84,5,15.7,4.43,Weekend,185.13
32.51,84.72,1,14.82,1.73,Weekday,163.73
17.33,86.46,6,14.37,6.23,Weekend,191.95
44.23,34.75,1,11.71,16.86,Weekend,175.33
44.59,75.31,2,5.87,6.58,Weekday,157.63
35.94,41.49,2,1.7,2.08,Weekday,94.3
31.08,80.2,1,11.02,2,Weekday,141.66
24.29,94.79,7,15.66,9.12,Weekday,229.13
39.41,22.25,3,11.63,18.7,Weekend,192.82
35.54,87.3,2,14.86,6.43,Weekday,181.51
19.88,66.7,7,12.87,9.12,Weekday,182.96
42.33,93,7,2.61,2.94,Weekend,177.57
39.68,54.88,5,3.99,10.38,Weekend,178.09
43.49,83.55,6,5.47,14.23,Weekday,213.58
36.77,24.68,4,2.69,6.15,Weekend,148
33.4,45.15,2,9.31,6.64,Weekday,138.11
27.55,25.03,1,15.61,17,Weekday,178.19
42.98,93.15,3,12.18,1.2,Weekday,193.57
40.98,81.27,4,6.77,13.09,Weekend,207.66
16.36,83.94,6,0.07,8.48,Weekday,114.17
15.79,90.35,7,5.01,6.67,Weekday,132.73
26.29,26.38,6,8.43,13.49,Weekday,168.64
